115,11.06.12,1108060,DARUSSALAM,1106
116,11.06.20,1108061,BAITUSSALAM,1106
117,11.06.11,1108070,KUTA BARO,1106
118,11.06.05,1108080,MONTASIK,1106
119,11.06.23,1108081,BLANG BINTANG,1106
120,11.06.10,1108090,INGIN JAYA,1106
121,11.06.21,1108091,KRUENG BARONA JAYA,1106
122,11.06.06,1108100,SUKAMAKMUR,1106
123,11.06.17,1108101,KUTA MALAKA,1106
124,11.06.18,1108102,SIMPANG TIGA,1106
125,11.06.07,1108110,DARUL IMARAH,1106
126,11.06.19,1108111,DARUL KAMAL,1106
127,11.06.08,1108120,PEUKAN BADA,1106
128,11.06.13,1108130,PULO ACEH,1106
129,11.07.05,1109010,GEUMPANG,1107
130,11.07.27,1109011,MANE,1107
131,11.07.06,1109070,GEULUMPANG TIGA,1107
132,11.07.29,1109071,GLUMPANG BARO,1107
133,11.07.13,1109080,MUTIARA,1107
134,11.07.24,1109081,MUTIARA TIMUR,1107
135,11.07.21,1109090,TIRO/TRUSEB,1107
136,11.07.19,1109100,TANGSE,1107
137,11.07.22,1109111,KEUMALA,1107
138,11.07.31,1109112,TITEUE,1107
139,11.07.17,1109120,SAKTI,1107
140,11.07.11,1109130,MILA,1107
141,11.07.14,1109140,PADANG TIJI,1107
142,11.07.04,1109150,DELIMA,1107
143,11.07.25,1109151,GRONG-GRONG,1107
144,11.07.07,1109160,INDRA JAYA,1107
145,11.07.15,1109170,PEUKAN BARO,1107
146,11.07.08,1109180,KEMBANG TANJONG,1107
147,11.07.18,1109190,SIMPANG TIGA,1107
148,11.07.09,1109200,KOTA SIGLI,1107
149,11.07.16,1109210,PIDIE,1107
150,11.07.03,1109220,BATEE,1107
151,11.07.12,1109230,MUARA TIGA,1107
152,11.11.01,1110010,SAMALANGA,1111
153,11.11.11,1110011,SIMPANG MAMPLAM,1111
154,11.11.08,1110020,PANDRAH,1111
155,11.11.02,1110030,JEUNIEB,1111
156,11.11.12,1110031,PEULIMBANG,1111
157,11.11.03,1110040,PEUDADA,1111
158,11.11.09,1110050,JULI,1111
159,11.11.04,1110060,JEUMPA,1111
160,11.11.13,1110061,KOTA JUANG,1111
161,11.11.14,1110062,KUALA,1111
162,11.11.10,1110070,JANGKA,1111
163,11.11.05,1110080,PEUSANGAN,1111
164,11.11.16,1110081,PEUSANGAN SELATAN,1111
165,11.11.15,1110082,PEUSANGAN SIBLAH KRUENG,1111
166,11.11.06,1110090,MAKMUR,1111
167,11.11.07,1110100,GANDAPURA,1111
168,11.11.17,1110101,KUTA BLANG,1111
169,11.08.15,1111010,SAWANG,1108
170,11.08.16,1111020,NISAM,1108
171,11.08.27,1111021,NISAM ANTARA,1108
172,11.08.26,1111022,BANDA BARO,1108
173,11.08.03,1111030,KUTA MAKMUR,1108
174,11.08.22,1111031,SIMPANG KRAMAT,1108
175,11.08.11,1111040,SYAMTALIRA BAYU,1108
176,11.08.25,1111041,GEUREDONG PASE,1108
177,11.08.07,1111050,MEURAH MULIA,1108
178,11.08.05,1111060,MATANGKULI,1108
179,11.08.20,1111061,PAYA BAKONG,1108
180,11.08.24,1111062,PIRAK TIMUR,1108
181,11.08.17,1111070,COT GIREK,1108
182,11.08.14,1111080,T. JAMBO AYE,1108
183,11.08.18,1111081,LANGKAHAN,1108
184,11.08.09,1111090,SEUNUDDON,1108
185,11.08.01,1111100,BAKTIYA,1108
186,11.08.19,1111101,BAKTIYA BARAT,1108
187,11.08.04,1111110,LHOKSUKON,1108
188,11.08.12,1111120,TANAH LUAS,1108
189,11.08.21,1111121,NIBONG,1108
190,11.08.08,1111130,SAMUDERA,1108
191,11.08.10,1111140,SYAMTALIRA ARON,1108
192,11.08.13,1111150,TANAH PASIR,1108
193,11.08.23,1111151,LAPANG,1108
194,11.08.06,1111160,MUARA BATU,1108
195,11.08.02,1111170,DEWANTARA,1108
196,11.12.03,1112010,MANGGENG,1112
197,11.12.09,1112011,LEMBAH SABIL,1112
198,11.12.02,1112020,TANGAN-TANGAN,1112
199,11.12.07,1112021,SETIA,1112
200,11.12.01,1112030,BLANG PIDIE,1112
201,11.12.08,1112031,JEUMPA,1112
202,11.12.04,1112040,SUSOH,1112
203,11.12.05,1112050,KUALA BATEE,1112
204,11.12.06,1112060,BABAH ROT,1112
205,11.13.02,1113010,KUTAPANJANG,1113
206,11.13.09,1113011,BLANGJERANGO,1113
